                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.4631,                 1.1433,                  1.132,                0.68543,                 0.6559,                0.69597,                 0.3706,                 1.5544,                0.99591,                 1.0997,             0.00023259,             0.00023259,             0.00023259
                     49,                 1.4764,                 1.1497,                 1.1305,                0.77352,                0.60351,                0.68508,                0.37369,                  1.545,                0.96789,                 1.0979,             0.00022829,             0.00022829,             0.00022829
                     50,                 1.4679,                 1.1355,                 1.1373,                0.67615,                0.64073,                0.68326,                0.39702,                 1.4255,                0.96021,                 1.0556,             0.00022398,             0.00022398,             0.00022398
                     51,                 1.4532,                 1.1295,                 1.1274,                0.67518,                0.64391,                0.68304,                0.35321,                 1.5991,                0.99872,                 1.1151,             0.00021968,             0.00021968,             0.00021968
                     52,                  1.445,                   1.12,                 1.1233,                0.73951,                0.60781,                0.69301,                0.38396,                 1.4872,                0.95761,                 1.0765,             0.00021537,             0.00021537,             0.00021537
                     53,                 1.4548,                 1.0973,                 1.1081,                0.73886,                0.64657,                0.70885,                0.38055,                   1.55,                0.97234,                 1.1061,             0.00021106,             0.00021106,             0.00021106
                     54,                 1.4632,                 1.1177,                 1.1217,                 0.7923,                0.63345,                0.70027,                0.39752,                 1.4174,                0.92539,                 1.0634,             0.00020676,             0.00020676,             0.00020676
                     55,                 1.4564,                 1.1185,                  1.122,                0.69592,                0.66049,                0.70545,                0.40909,                  1.403,                0.92984,                 1.0486,             0.00020245,             0.00020245,             0.00020245
                     56,                  1.435,                 1.0889,                 1.1167,                0.77333,                 0.6387,                0.70596,                0.41762,                  1.374,                0.92332,                 1.0417,             0.00019814,             0.00019814,             0.00019814
                     57,                 1.4358,                 1.0906,                 1.1168,                 0.6565,                0.63297,                0.67717,                0.39173,                 1.4257,                 0.9627,                 1.0569,             0.00019384,             0.00019384,             0.00019384
                     58,                 1.4603,                  1.093,                  1.111,                0.76598,                 0.6352,                0.70901,                0.39035,                 1.5151,                0.95111,                 1.0822,             0.00018953,             0.00018953,             0.00018953
                     59,                 1.4278,                 1.0829,                 1.1077,                 0.7252,                0.62988,                0.70306,                0.38924,                 1.5218,                0.94391,                  1.095,             0.00018522,             0.00018522,             0.00018522
                     60,                 1.4088,                 1.0594,                 1.1003,                0.74052,                0.62904,                0.70718,                0.40521,                 1.3857,                0.90654,                 1.0452,             0.00018092,             0.00018092,             0.00018092
                     61,                 1.4253,                 1.0538,                 1.1015,                0.69988,                0.64477,                0.70737,                0.38546,                 1.5404,                0.92985,                 1.0962,             0.00017661,             0.00017661,             0.00017661
                     62,                 1.4236,                 1.0726,                  1.113,                 0.7331,                0.63101,                0.70487,                0.41505,                 1.3736,                0.89471,                 1.0402,              0.0001723,              0.0001723,              0.0001723
                     63,                 1.4104,                 1.0439,                 1.1059,                0.81068,                0.65009,                0.72386,                0.40177,                 1.4857,                0.89696,                 1.0785,               0.000168,               0.000168,               0.000168
                     64,                 1.4079,                 1.0487,                 1.1101,                0.79092,                0.63663,                0.71717,                0.40831,                 1.4294,                0.90293,                 1.0582,             0.00016369,             0.00016369,             0.00016369
                     65,                 1.4134,                 1.0542,                 1.0968,                0.76814,                0.66493,                0.72198,                0.40518,                 1.4691,                 0.9075,                   1.07,             0.00015938,             0.00015938,             0.00015938
                     66,                    1.4,                 1.0288,                 1.0985,                0.73281,                0.67713,                0.71516,                0.40285,                 1.4183,                0.89235,                 1.0575,             0.00015508,             0.00015508,             0.00015508
                     67,                  1.416,                 1.0249,                  1.104,                0.74529,                0.66625,                0.72308,                0.39884,                 1.4749,                0.89932,                 1.0717,             0.00015077,             0.00015077,             0.00015077
                     68,                 1.3897,                 1.0142,                 1.0926,                0.79409,                0.64725,                 0.7263,                 0.4144,                 1.4417,                0.89296,                   1.06,             0.00014646,             0.00014646,             0.00014646
                     69,                 1.3946,                 1.0389,                 1.0992,                0.76584,                0.67636,                0.73825,                0.39541,                 1.5033,                0.89357,                 1.0806,             0.00014216,             0.00014216,             0.00014216
                     70,                  1.405,                 1.0261,                  1.096,                0.80942,                0.67128,                0.73221,                0.42412,                 1.4255,                0.86816,                 1.0531,             0.00013785,             0.00013785,             0.00013785
                     71,                 1.3785,                 1.0033,                 1.0859,                0.78459,                0.67885,                0.73727,                 0.4255,                 1.4092,                0.86918,                 1.0494,             0.00013355,             0.00013355,             0.00013355
                     72,                 1.3871,                 1.0083,                 1.0913,                0.79898,                0.65864,                0.73555,                0.42757,                 1.3944,                0.86568,                  1.045,             0.00012924,             0.00012924,             0.00012924
                     73,                 1.4017,                 1.0216,                 1.0968,                 0.7478,                0.67492,                0.73297,                0.40707,                  1.473,                0.88525,                 1.0683,             0.00012493,             0.00012493,             0.00012493
                     74,                 1.3875,                 1.0074,                 1.0964,                0.75612,                0.67964,                0.73531,                0.44456,                 1.3322,                0.85337,                 1.0245,             0.00012063,             0.00012063,             0.00012063
                     75,                 1.3702,                0.99253,                 1.0882,                0.80845,                0.66332,                0.74699,                0.41155,                 1.4874,                0.86197,                 1.0764,             0.00011632,             0.00011632,             0.00011632
                     76,                 1.3721,                 0.9877,                 1.0894,                0.72954,                0.68141,                0.74529,                0.41845,                 1.4495,                0.85688,                 1.0644,             0.00011201,             0.00011201,             0.00011201
                     77,                 1.3915,                 1.0011,                  1.091,                0.76292,                0.67918,                 0.7526,                0.41298,                 1.4704,                0.85892,                 1.0682,             0.00010771,             0.00010771,             0.00010771
                     78,                 1.3735,                0.97839,                 1.0883,                0.78305,                0.67261,                0.74881,                0.42331,                 1.4382,                0.85943,                 1.0572,              0.0001034,              0.0001034,              0.0001034
                     79,                  1.368,                0.98562,                 1.0846,                0.80084,                0.66456,                0.73599,                0.41473,                 1.4277,                 0.8618,                 1.0567,             9.9093e-05,             9.9093e-05,             9.9093e-05
                     80,                 1.3671,                0.96437,                 1.0778,                0.83068,                0.67436,                0.75761,                0.44002,                 1.4064,                0.84396,                 1.0466,             9.4786e-05,             9.4786e-05,             9.4786e-05
                     81,                  1.373,                0.97542,                 1.0872,                0.83749,                0.67165,                0.75889,                0.44191,                 1.3791,                0.83692,                 1.0375,              9.048e-05,              9.048e-05,              9.048e-05
                     82,                 1.3595,                0.97354,                  1.073,                0.78275,                0.70688,                0.75844,                0.42326,                 1.4624,                0.84508,                 1.0669,             8.6173e-05,             8.6173e-05,             8.6173e-05
                     83,                 1.3644,                0.97008,                 1.0851,                 0.8588,                0.65375,                0.75841,                0.44194,                 1.3819,                0.84018,                 1.0412,             8.1867e-05,             8.1867e-05,             8.1867e-05
                     84,                 1.3422,                0.94576,                 1.0675,                0.79764,                0.67558,                0.75571,                0.42479,                 1.4308,                0.85602,                 1.0556,             7.7561e-05,             7.7561e-05,             7.7561e-05
                     85,                 1.3503,                0.96853,                 1.0824,                0.84055,                0.66372,                0.76149,                0.42124,                 1.4568,                 0.8554,                 1.0664,             7.3254e-05,             7.3254e-05,             7.3254e-05
                     86,                 1.3532,                 0.9593,                 1.0803,                0.83648,                0.67178,                0.76691,                0.43939,                   1.42,                0.83203,                  1.052,             6.8948e-05,             6.8948e-05,             6.8948e-05
                     87,                 1.3487,                0.95351,                 1.0766,                0.86679,                0.65423,                0.76438,                0.44487,                 1.4085,                0.83308,                 1.0475,             6.4641e-05,             6.4641e-05,             6.4641e-05
                     88,                 1.3482,                0.95453,                 1.0706,                0.86187,                0.65374,                0.76229,                0.44088,                 1.4038,                0.82749,                 1.0476,             6.0335e-05,             6.0335e-05,             6.0335e-05
                     89,                 1.3381,                0.94694,                 1.0695,                0.78462,                0.71367,                0.76509,                0.42399,                 1.4997,                0.85322,                 1.0798,             5.6028e-05,             5.6028e-05,             5.6028e-05
                     90,                 1.3368,                0.94297,                  1.072,                0.84327,                0.67247,                 0.7709,                 0.4439,                 1.4072,                 0.8221,                 1.0493,             5.1721e-05,             5.1721e-05,             5.1721e-05
                     91,                 1.3179,                0.91989,                 1.0938,                0.78555,                0.69868,                0.76025,                0.42221,                 1.4554,                0.86374,                 1.0701,             4.7415e-05,             4.7415e-05,             4.7415e-05
                     92,                 1.3105,                0.90119,                 1.0941,                0.80056,                0.68669,                0.76304,                0.43093,                 1.4101,                0.84236,                 1.0509,             4.3108e-05,             4.3108e-05,             4.3108e-05
                     93,                 1.2954,                0.88724,                 1.0844,                0.80589,                0.69186,                0.75405,                0.42249,                 1.4451,                0.85746,                 1.0612,             3.8802e-05,             3.8802e-05,             3.8802e-05
                     94,                 1.2916,                0.86952,                 1.0796,                0.81536,                0.67826,                0.74926,                0.41436,                 1.4663,                0.85303,                 1.0681,             3.4495e-05,             3.4495e-05,             3.4495e-05
                     95,                 1.2979,                 0.8773,                 1.0851,                0.81829,                0.66703,                0.75293,                0.43284,                 1.4049,                0.84613,                 1.0474,             3.0189e-05,             3.0189e-05,             3.0189e-05
                     96,                 1.2935,                0.87826,                 1.0855,                0.75593,                0.70497,                0.75713,                 0.4312,                  1.404,                0.83556,                  1.049,             2.5883e-05,             2.5883e-05,             2.5883e-05
                     97,                  1.281,                0.86603,                 1.0781,                0.76859,                0.72329,                0.76702,                0.43187,                 1.4329,                0.83526,                 1.0565,             2.1576e-05,             2.1576e-05,             2.1576e-05
                     98,                 1.2895,                0.86869,                 1.0811,                0.78393,                0.69731,                0.76722,                0.43504,                 1.4197,                0.83048,                 1.0515,              1.727e-05,              1.727e-05,              1.727e-05
                     99,                 1.2794,                  0.864,                 1.0793,                0.78142,                0.70342,                0.76185,                0.42878,                 1.4402,                0.83604,                 1.0599,             1.2963e-05,             1.2963e-05,             1.2963e-05
                    100,                 1.2878,                0.86249,                 1.0808,                0.77878,                0.69809,                0.76027,                0.43899,                 1.3973,                0.83065,                 1.0455,             8.6565e-06,             8.6565e-06,             8.6565e-06
